user_id,age,annual_income,country,duolingo_platform,duolingo_subscriber,duolingo_usage,employment_status,future_contact,gender,other_resources,primary_language_commitment,primary_language_review,primary_language_motivation,primary_language_motivation_followup,primary_language_proficiency,student,survey_complete,time_spent_seconds,duolingo_start_date,highest_course_progress,took_placement_test,purchased_subscription,highest_crown_count,n_active_days,n_lessons_started,n_lessons_completed,longest_streak,n_days_on_platform
35d31af572c911e98f84dca9049399ef,35 - 54,"$151,000 or more",GB,iPhone or iPad,"No, I have never paid for Duolingo Plus",Daily,Employed full-time,FALSE,Male,1,I'm slightly committed to learning this language.,I am using Duolingo to review a language I've studied before.,I am interested in a culture that speaks this language,"To better understand the ""pop culture"" in this language,Other (please specify)",Intermediate,Not currently a student,TRUE,269,2018-06-24T12:37:00Z,15,FALSE,FALSE,22,26,35,35,2,133
35d31b7872c911e99544dca9049399ef,35 - 54,"$26,000 - $75,000",US,Android phone or tablet,"No, I have never paid for Duolingo Plus",Daily,Employed full-time,TRUE,Male,0,I'm moderately committed to learning this language.,I am using Duolingo to review a language I've studied before.,I want to connect with my heritage or identity,,Beginner,Not currently a student,TRUE,260,2016-03-23T13:34:00Z,31,FALSE,FALSE,97,83,105,94,908,956
35d31bf872c911e9b41ddca9049399ef,18-34,No Response,FR,iPhone or iPad,"No, I have never paid for Duolingo Plus",Daily,Employed part-time,TRUE,Female,0,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to use my time more productively,"I want to spend less time watching or reading the news,Other (please specify)",Beginner,Not currently a student,TRUE,324,2018-06-22T17:10:00Z,35,TRUE,FALSE,60,95,837,632,86,135
35d31c7a72c911e9b4eadca9049399ef,35 - 54,"$26,000 - $75,000",GB,iPhone or iPad,"No, I have never paid for Duolingo Plus",Daily,Employed full-time,TRUE,Male,1,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I need to be able to speak the local language where I live,,Intermediate,Not currently a student,TRUE,247,2016-07-20T14:15:00Z,1,FALSE,FALSE,280,79,346,335,50,837
35d31d0072c911e988d0dca9049399ef,55 - 74,"$76,000 - $150,000",TW,Web browser,"No, I have never paid for Duolingo Plus",Weekly,Employed full-time,FALSE,Female,3,I'm slightly committed to learning this language.,I am using Duolingo to review a language I've studied before.,I want to keep my brain healthy,,Beginner,Not currently a student,TRUE,407,2018-10-24T21:50:00Z,17,TRUE,TRUE,53,10,120,121,12,11
35d31d8072c911e99f3edca9049399ef,Under 18,"$0 - $10,000",JP,Web browser,"No, I have never paid for Duolingo Plus",Daily,Unemployed,TRUE,Female,3,I'm extremely committed to learning this language.,I am using Duolingo to review a language I've studied before.,I need to be able to speak the local language where I live,I am an expat,Advanced,Full-time student,TRUE,325,2017-01-16T19:47:00Z,5,FALSE,FALSE,20,4,56,112,1,657
35d31e0272c911e9840adca9049399ef,55 - 74,"$0 - $10,000",RU,Web browser,"Yes, I currently pay for Duolingo Plus",Daily,Retired,TRUE,Male,1,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to improve relationships with some of the people in my life,"I want to better communicate with people in my community (neighbors, coworkers, etc.),Other (please specify)",Intermediate,Not currently a student,TRUE,438,2013-09-03T02:38:00Z,34,FALSE,TRUE,167,46,264,256,38,1888
35d31ea372c911e98fd4dca9049399ef,55 - 74,"$26,000 - $75,000",RU,iPhone or iPad,"Yes, I currently pay for Duolingo Plus",Daily,Retired,TRUE,Male,1,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to improve relationships with some of the people in my life,"I want to better communicate with people in my community (neighbors, coworkers, etc.),Other (please specify)",Beginner,No Response,TRUE,888,2014-05-11T16:32:00Z,62,FALSE,TRUE,173,78,184,153,19,1638
35d31f2e72c911e98cd7dca9049399ef,35 - 54,"$0 - $10,000",GB,Android phone or tablet,"No, I have never paid for Duolingo Plus",Monthly,Employed full-time,FALSE,Male,1,I'm slightly committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to use my time more productively,"I want to spend less time playing games,I want to spend less time watching or reading the news",Beginner,Not currently a student,TRUE,260,2016-11-16T09:35:00Z,64,TRUE,FALSE,100,22,82,87,8,718
35d31fb072c911e9a5fddca9049399ef,35 - 54,"$0 - $10,000",US,Android phone or tablet,"No, I have never paid for Duolingo Plus",Daily,Employed full-time,TRUE,Male,1,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to connect with my heritage or identity,,Beginner,Not currently a student,TRUE,715,2018-05-20T13:01:00Z,31,FALSE,FALSE,84,86,230,189,156,168
35d3203072c911e98bf0dca9049399ef,35 - 54,"$151,000 or more",JP,iPhone or iPad,"No, I have never paid for Duolingo Plus",Daily,Employed full-time,TRUE,Male,0,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to improve relationships with some of the people in my life,"I want to better communicate with my grandparents, grandchildren, or other relatives,I want to learn this language together with my family",Beginner,Not currently a student,TRUE,198,2016-04-20T02:55:00Z,49,FALSE,FALSE,64,32,323,312,13,928
35d320bd72c911e9bd7cdca9049399ef,18-34,"$0 - $10,000",CO,Android phone or tablet,"No, I have never paid for Duolingo Plus",Daily,Unemployed,TRUE,Female,4,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I am preparing for a trip,"I want to learn some basics in the local language,I want to show respect by speaking the local language,I have an upcoming trip",Beginner,Full-time student,TRUE,455,2017-05-25T04:07:00Z,61,TRUE,FALSE,105,4,79,69,4,528
35d3215c72c911e9bff7dca9049399ef,18-34,"$0 - $10,000",US,iPhone or iPad,"No, I have never paid for Duolingo Plus",Weekly,Employed full-time,TRUE,Female,2,I'm not at all committed to learning this language.,I am using Duolingo to review a language I've studied before.,I want to use my time more productively,"I want to spend less time on social media,I want to spend less time watching or reading the news",Beginner,Not currently a student,TRUE,321,2013-09-30T06:27:00Z,7,FALSE,FALSE,6,3,16,12,2,1861
35d321e172c911e9ac9bdca9049399ef,18-34,"$0 - $10,000",TW,Android phone or tablet,"No, I have never paid for Duolingo Plus",Daily,Employed full-time,TRUE,Male,3,I'm moderately committed to learning this language.,I am using Duolingo to review a language I've studied before.,I need to be able to speak the local language where I live,,Intermediate,Not currently a student,TRUE,259,2018-08-29T17:23:00Z,9,TRUE,FALSE,79,41,123,111,23,67
35d3226172c911e9849fdca9049399ef,18-34,"$11,000 - $25,000",DE,Android phone or tablet,"No, I have never paid for Duolingo Plus",Daily,Employed full-time,TRUE,Male,0,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I am preparing for a trip,Someday I would like to travel to a country that uses this language,Beginner,Not currently a student,TRUE,221,2018-09-10T20:22:00Z,8,FALSE,FALSE,28,55,279,266,31,55
